Tweet Description,Date,Favorite Count,Retweet Count,Sentiment
"""I arranged to have some contestants fly in,"" George Houraney recalled. ""I said, 'Who's coming tonight? I have 28 girls coming.' It was him and Epstein.""

""I said, 'Donald, this is supposed to be a party with VIPs. You're telling me it's you and Epstein?'""
https://t.co/gbAqBO8MkU",2019-07-10,6557,4165,0.8
I find it fitting the World Cup champs are having the parade Donald always dreamed of having. The largest celebration involving Trump will be on the day he leaves office. The entire civilized world will rejoice. Thank you to the champs for inspiring America. Onward!🇺🇸#USWNTParade,2019-07-10,15130,3318,0.22999999999999998
If the presidency of Donald J Trump has taught us anything it’s that more often than not rich powerful men get away with it.  https://t.co/S2cGeyNQYH,2019-07-10,3873,1418,0.2041666666666667
"In 2016, “Jane Doe” filed a lawsuit against Trump alleging a “savage sexual attack” in 1994, when she was 13, in which he tied her to a bed at Epstein’s house &amp; raped her. She pulled the lawsuit after getting threatened, but why aren't we talking about it? https://t.co/vDIcX0XiqN",2019-07-11,40926,23485,0.5
"My latest OpEd read and RT🇺🇸

Donald Trump will win the Democratic Party civil war | TheHill https://t.co/NhftUC975e",2019-07-11,30163,8925,0.65
"Donald Trump invited a cabal of online fascists, conspiracy theorists, and Nazi coddling thugs to the White House today to threaten and intimidate the professional reporters he intends to replace. https://t.co/F00GObyff4",2019-07-11,8507,4664,0.05
"“The kidney has a very special place in the heart.“ — Donald J. Trump, sans TelePrompTer, July 10, 2019. Our president. Of these United States. WTF?!?",2019-07-11,23811,5352,-0.08035714285714285
"If peerages have any present day use, then Sir Kim Darroch should immediately be elevated to the House of Lords, in gratitude for reporting the truth about Donald Trump’s Presidency - and as a token of public trust in his service as Her Majesty’s Ambassador to the United States.",2019-07-11,16004,3094,0.0
"1/ Tough love:

You know who benefits from the House civil war being waged by AOC? 

Donald Trump, that's who.

The new class of Democrats has more Katie Porters and Conor Lambs than AOCs, but hey, it's just the majority of the only body you control at stake, and the Presidency.",2019-07-11,5180,1715,0.1494949494949495
"Donald Trump’s day so far:

- Has another meltdown about being a “Stable Genius”
- Accidentally says Elizabeth Warren is 4000% Native American
- Tags some random guy instead of Pete Buttigieg
- God help us all
- Trump is going to prison
- Or a rubber room
- It’s still only 11am",2019-07-11,7533,1881,-0.1
"Ivory Coast ""is in the process of updating its family code to make it more equitable to women—a move President Donald Trump's eldest daughter and senior adviser praised as 'a great step forward.'""

The latest win for women's economic empowerment: https://t.co/B1Z8mnh0FR",2019-07-11,4951,1028,0.56
Boris Johnson Shows That He’s Donald Trump’s Poodle | The New Yorker https://t.co/BYgsZ8AhvI,2019-07-11,3139,1328,0.13636363636363635
"First Donald Trump lost to the district courts.

Then he lost to the circuit courts.

Then he lost to the Supreme Court.

(Then the circuit courts again. &amp; again. &amp; again.)

Best news?

WE WON.

There will be NO citizenship question on the #2020Census. 

https://t.co/GxUUdk4lPI",2019-07-11,2020,642,0.625
"Barack Obama presided over a nearly $1 trillion reduction in the budget deficit, from $1.4 trillion to $585 billion. By the end of his first term, Donald Trump, who bankrupted 5 casinos, will have almost entirely reversed that with a deficit of $1.1 trillion by the end of 2020.",2019-07-12,15524,9033,0.11666666666666665
"President Donald Trump on Rep. Ilhan Omar (D-MN): ""I'm looking at this Omar from Minnesota. And if one half of the things they're saying about her are true she shouldn't even be in office."" https://t.co/X81bXgfT0M",2019-07-12,25104,7795,0.09166666666666666
"Alex Acosta has resigned. But it wasn't Acosta who said this. It was Donald Trump. ""I’ve known Jeff for fifteen years. He’s a lot of fun to be with. It is even said that he likes beautiful women as much as I do, and many of them are on the younger side.”",2019-07-12,25266,6609,0.37
"Jeffrey Epstein, Alexander Acosta and R. Kelly all go down in the same week. So when will Donald Trump be held accountable for the rape charges against him?",2019-07-12,45447,9144,-0.07777777777777779
I'd forgotten this Trump quote about 12-year-old Paris Hilton https://t.co/sQc3A65zjU https://t.co/GLoEYZn0xa,2019-07-12,5802,3208,0.0
"Donald Trump’s day so far:

- Alexander Acosta resigns
- Trump defends Acosta because “he’s a Hispanic man”
- What does that even mean
- Trump reveals he doesn’t know what’s in Article 2 of the Constitution
- Hint: impeachment
- Trump is going to prison
- It’s still only 1:45pm",2019-07-12,15292,2900,-0.07083333333333333
Donald Trump is far harsher in his condemnation of the New York Times than of Jeffrey Epstein.,2019-07-12,15569,2847,0.11818181818181818
"“Nobody ever talks about Article 2. It gives me all these rights that nobody’s ever seen before. So no obstruction, no collusion. Just look at Article 2.” — Donald J. Trump, 45th president of the United States. WTF!? Where are the guys with the butterfly nets?",2019-07-12,16855,4765,-0.625
"Yes, this is true. Donald Trump's pick to run the Labor Department after Acosta's resignation promoted sweatshops on remote US islands, Read all about it:  https://t.co/9XB6Kl5usK",2019-07-12,1886,1848,0.12499999999999999
"Labor Secretary Alexander Acosta is resigning from President Donald Trump’s Cabinet amid scrutiny of his handling of a secret 2008 plea deal with financier Jeffrey Epstein, who’s been accused of sexually abusing underage girls.
https://t.co/rYY75pbwoE",2019-07-12,6386,2429,0.04999999999999999
"Donald Trump may be willing to look the other way while criminal abuses toward immigrants pile up, but make no mistake: President Elizabeth Warren will not. #NN19 https://t.co/buNRwkot46",2019-07-13,39089,9427,-0.09166666666666667
"""He was one of Donald Trump's biggest enablers,"" Amash said, adding he thinks ""it's ridiculous"" that Ryan waited until leaving office to level criticisms at the president. https://t.co/28WuJfxnOB",2019-07-13,62996,11956,-0.3333333333333333
"Donald Trump underwent a 2.5 year investigation

During that, imagine if he had:

Smashed cell phones containing evidence

Deleted 33,000 emails after a subpoena

And lied repeatedly to Congress

There would be outrage!

But Hillary did just that.

Why did she get away with it?",2019-07-13,49805,16452,0.0
"Hey, remember three weeks ago, when the president was accused of rape?

https://t.co/IluEcMJvqs",2019-07-13,40350,12875,0.0
Mike Pence’s visit today to a terribly crowded migrant detention facility with horrific conditions provided a stark reminder that he’s just as heartless as Donald Trump.,2019-07-13,32213,7287,-0.7333333333333334
Donald Trump Jr. tells conservative Denver crowd to fight on. #wcs19  https://t.co/yg4jtL8oRT,2019-07-13,10166,2911,0.0
"Sherrod Brown, talking before 2020 candidate forum: ""I called Donald Trump a racist, because he was, and he is. And I won the swing state of Ohio by 7 points. Elections aren't about some 'electability' question. They're about the question, whose side are you on?""",2019-07-13,17188,3621,0.0
"Rep. Justin Amash blasted the notion that Paul Ryan stood up to Trump during his time as Speaker.

""He was one of Donald Trump's biggest enablers,"" Amash said, adding he thinks ""it's ridiculous"" that Ryan waited until leaving office to level criticisms. https://t.co/jwWuMdcuve",2019-07-13,8856,2178,-0.4666666666666667
"THIS: “He was one of Donald Trump's biggest enablers,"" Amash said, adding he thinks ""it's ridiculous"" that Ryan waited until leaving office to level criticisms at the president. https://t.co/WNZSBpkYzi",2019-07-13,10425,2447,-0.3333333333333333
"Hey @mPinoe , There’s No ‘I’ In Team 

Imagine being this disrespectful to the country that has given you so much --No grace, no gratitude, no humility. ⬇️

She's a horrible example for the young, impressionable.  

Full Video: https://t.co/Ukp7R4R83Z https://t.co/uxSClQTK3H",2019-07-13,7986,2123,-0.08750000000000002
"Donald Trump is a racist. Full stop. 

If you are part of this administration, defend him in congress, or voted for him and continue to support him, you are part of that racism. I don’t differentiate between him and you. 

Dems, stop trying to court these people. They are poison. https://t.co/lRDOi8OpqA",2019-07-14,61936,15122,0.35
President Donald Trump has lost more of his Cabinet secretaries to corruption and other ethics concerns in his first term than any other president in U.S. history. https://t.co/Ql3INiCGxg,2019-07-14,16897,9105,0.125
Democrats and Republicans agree -- Donald Trump will be re-elected https://t.co/iyLuw5os7O via @nypost,2019-07-14,30574,7093,0.0
"The president has once again (but even more obviously than usual) made clear his unapologetic bigotry, nativism and racism. Are GOP leaders, donors and voters still fine with re-nominating Donald Trump for president? Do they really believe the Republican Party can do no better?",2019-07-14,40601,9858,0.10238095238095239
"CNN went there -- calling President Donald Trump the #RacistInChief and peddling white supremacist language. 

Check out more here: https://t.co/EtCG2BELnF https://t.co/Y9IhARlOQz",2019-07-14,1127,606,0.25
"“First they came for the socialists, and I did not speak out—because I was not a socialist...Then they came for the Jews, and I did not speak out—because I was not a Jew.Then they came for me—and there was no one left to speak for me.”—Martin Niemoller.

https://t.co/ivTOf8lwy9",2019-07-14,14215,5815,0.125
I don’t know what else to say but Donald Trump is a racist and a criminal and we have a constitutional duty to impeach him.,2019-07-14,9433,1724,-0.4
"Hundreds of roads, parks, schools and other landmarks have been named in honor of @BarackObama since he left office. What do you think will be named after Donald Trump? https://t.co/f4JzXYAxIO",2019-07-14,17219,3533,-0.0625
"Donald Trump is so incredibly not racist that all major racist groups endorsed him purely out of ironic spite.

#RacistInChief",2019-07-14,5852,1104,0.0066964285714285685
"Totally agree with @NikkiHaley about Federer and Djokovic being class acts. Speaking of class acts, you know what would be a class act? If someone who'd served in Donald Trump's administration would step up and unequivocally denounce his appalling statements today. https://t.co/AWQNrkCBHM",2019-07-14,18773,3116,-0.175
These four women are expressing more patriotism in this one press conference than Donald Trump has in his entire life.,2019-07-15,64934,9445,0.25
"One of the dumbest things I'm seeing lately is the claim that ""no one ever called Donald Trump a racist until he ran for president.""

No, lots of people called him racist or accused him of racism. Lots.

It's been well documented in many places. See here: https://t.co/5L9mcGMYJp",2019-07-15,23850,8049,0.1
"It is unarguable, Donald Trump is a racist. If you support him you are supporting racism. At this crucial time in the struggle for the soul of our nation, we all must choose. Either embrace his hatred or fight to overcome original sin. Humanity hangs in the balance.",2019-07-15,56189,13794,0.20833333333333334
This is not about “love for America.” But if it were? I’d say this: John McCain loved America. John Lewis loves America. Barry Goldwater and George McGovern loved America. Madeleine Albright and Condoleezza Rice love America. Donald Trump doesn’t love America. He loves himself. https://t.co/N0dWj3VnQn,2019-07-15,38039,8537,0.58
"Senior WH official in ""The Enemy of the People"" - ""I wouldn't be here in the first place if I thought Donald Trump was a racist,"" the official said. I then asked the official whether that could be stated on the record. ""I don't want to say that on the record,"" the official said.",2019-07-15,24813,5923,0.25
"Donald Trump has not changed the Republican Party. He has simply made the party more explicitly, openly and proudly what it had been becoming since 1964, when the Civil Rights Movement's legislative successes began to radically reshuffle the parties' bases.",2019-07-15,10863,2980,0.35
"President Donald Trump on people who hate America: “Very simply, you can leave. You can leave right now. Come back if you want, don’t come back, that’s okay too. But if you’re not happy, you can leave”

The audience claps in response https://t.co/38u5VSV8dE",2019-07-15,9491,3217,-0.059183673469387764
"This is how we defeat Donald Trump's disgraceful bigotry and xenophobia. When billionaires use racism to divide us, we build solidarity among working people—immigrants and non-immigrants, gay and straight, men and women, black and brown and white. https://t.co/HkC77UOyWA",2019-07-15,17495,4030,0.11250000000000002
"Donald Trump: go back to where you came from

Geraldo Rivera: hey that’s racist

Brit Hume: no that’s not racist

Lindsey Graham: I love racism

Susan Collins: I have a hangnail",2019-07-15,13887,2778,0.25
"""Donald Trump is a race-baiting, xenophobic, religious bigot. He doesn't represent my party. He doesn't represents the values that the men and women who wear the uniform are fighting for."" — Senator Graham, December 2015 https://t.co/fSHyY5BmAk",2019-07-15,16140,4685,0.0
"If you come after the President, the Country, the Flag - he’s going to defend himself. What the squad doesn’t like is that Donald Trump is enforcing the very laws that are on the books that were put there by Congress.” Jason Chaffetz. Also, buy Jason’s great new book, POWER GRAB!",2019-07-16,113343,26837,0.39015151515151514
"Donald Trump has decided he does not want to be President of the United States.

He does not want to be a President to those who disagree.

And he’d rather see most Americans leave than handle our nation’s enshrined tradition of dissent.

But we don’t leave the things we love. 🇺🇸",2019-07-16,199596,31941,0.5
"Ilhan Omar, the Minnesota congresswoman targeted by Donald Trump, became a U.S. citizen in 2000, six years before the first lady did. https://t.co/diidYLrgzt",2019-07-16,17824,5614,0.25
"Donald Trump is lashing out at me, @AOC, @RashidaTlaib, &amp; @AyannaPressley because he wants to divide our country. We will not allow his latest attacks distract us from working to ensure a brighter future for all. https://t.co/wQhSPwgipk",2019-07-16,25811,4976,0.2333333333333333
"Telling four Congresswomen of colour to “go back” is racist. But the Tory leadership candidates can’t bring themselves to say so.

We should stand up to Donald Trump, not pander to him for a sweetheart trade deal which would put our NHS at risk.",2019-07-16,25985,6458,0.0
"Here’s the problem: There are 250 Republicans in the United States Congress. And approximately 242 of those 250 Republicans privately believe Donald Trump is a dishonest, ignorant, narcissistic bigot who should get lost. But they don’t say anything publicly.

That’s the problem.",2019-07-16,42578,8901,-0.175
"If you support the racist Donald Trump -- or his silently complicit/cheering/cowering Republican Party -- you, too, are a racist. 

Period. End. Full stop. No one gets to pretend otherwise. 

Also: How much longer, @SpeakerPelosi -- how much longer? 

#RacistPresident #ImpeachNow",2019-07-16,25139,6759,0.1875
Poll: Do you think President Donald Trump will win a second term? Please explain your answer.,2019-07-16,4971,6567,0.4
"""The first note that I want to tell children across this country is that no matter what the president says, this country belongs to you, and it belongs to everyone."" —@AOC, in response to President Donald Trump's racist remarks https://t.co/G5uIyKIwR5",2019-07-16,17013,3661,0.25
"Melania Trump, who was not born in America, has been silent as her husband tweets racist and xenophobic attacks at four lawmakers https://t.co/r9RuObrYUo",2019-07-16,10604,3623,0.0
